ID,Zone_Band,Xcoord,Ycoord
364,10S,544014,4180249
365,10S,544025,4179052
366,10S,543093,4181529
367,10S,544067,4176944
368,10S,543041,4180977
369,10S,553788,4181360
370,10S,553014,4182939
371,10S,553630,4182334
372,10S,552882,4182939
373,10S,552722,4182785
374,10S,552157,4183543
375,10S,552524,4182650
376,10S,552836,4182167
377,10S,551585,4181648
378,10S,552181,4182537
379,10S,552047,4182486
380,10S,553732,4182505
381,10S,552687,4182639
382,10S,550674,4183842
383,10S,553240,4183041
384,10S,551210,4184452
385,10S,551645,4183235
386,10S,550691,4183868
387,10S,552507,4183358
388,10S,552673,4181463
389,10S,551035,4183683
390,10S,551394,4183146
391,10S,552809,4182484
392,10S,553160,4182164
393,10S,553372,4182027
394,10S,553072,4181759
395,10S,552538,4182393
396,10S,551226,4181568
397,10S,552689,4183242
398,10S,553714,4180184
399,10S,553112,4182471
400,10S,553421,4183063
401,10S,551676,4182139
402,10S,551310,4183739
403,10S,551858,4184281
404,10S,553566,4181258
405,10S,552108,4182517
406,10S,551437,4182754
407,10S,554771,4176545
408,10S,553485,4181507
409,10S,552059,4175261
410,10S,552382,4181145
411,10S,549727,4179127
412,10S,552410,4181107
413,10S,552601,4180736
414,10S,552916,4174718
415,10S,552554,4177387
416,10S,553805,4173865
417,10S,551008,4180668
418,10S,552300,4179303
419,10S,551172,4182133
420,10S,553981,4180511
421,10S,552010,4182174
422,10S,552620,4177817
423,10S,551458,4180990
424,10S,553748,4180049
425,10S,552725,4180757
426,10S,552178,4180725
427,10S,551838,4175923
428,10S,553352,4180334
429,10S,550964,4180336
430,10S,549674,4175436
431,10S,553567,4178956
432,10S,552051,4180600
433,10S,550580,4183067
434,10S,548883,4173710
435,10S,549714,4174164
436,10S,550088,4174715
437,10S,552418,4179934
438,10S,551126,4181083
439,10S,548709,4181325
440,10S,548294,4181784
441,10S,548655,4177609
442,10S,550825,4181322
443,10S,547235,4177266
444,10S,550608,4181090
445,10S,549718,4179414
446,10S,546651,4181186
447,10S,550591,4181066
448,10S,550662,4181414
449,10S,551654,4180440
450,10S,548789,4183695
451,10S,549824,4174996
452,10S,551166,4181180
453,10S,551686,4180950
454,10S,550694,4178811
455,10S,550968,4179727
456,10S,547732,4181759
457,10S,549521,4178956
458,10S,549275,4182017
459,10S,550030,4175880
460,10S,550008,4184429
461,10S,549276,4179412
462,10S,550594,4180126
463,10S,551092,4179706
464,10S,546781,4174477
465,10S,546958,4184122
466,10S,549584,4180798
467,10S,547773,4181732
468,10S,546067,4179734
469,10S,551253,4180696
470,10S,546417,4175357
471,10S,545224,4182174
472,10S,545892,4174695
473,10S,545966,4177142
474,10S,546074,4175620
475,10S,543672,4180599
476,10S,543181,4180622
477,10S,545435,4174014
478,10S,546136,4178479
479,10S,553812,4181366
480,10S,553389,4183094
481,10S,552180,4182477
482,10S,552618,4182200
483,10S,552716,4183776
484,10S,552170,4182964
485,10S,553084,4183036
486,10S,553016,4182947
487,10S,551422,4181719
488,10S,553242,4182932
489,10S,552523,4182479
490,10S,552296,4182315
491,10S,552311,4182440
492,10S,552054,4183848
493,10S,551915,4182227
494,10S,552400,4182783
495,10S,550942,4183860
496,10S,552022,4183540
497,10S,552873,4182938
498,10S,552400,4184459
499,10S,551959,4181774
500,10S,552280,4182630
501,10S,553175,4182331
502,10S,552388,4184611
503,10S,553363,4183460
504,10S,551093,4184085
505,10S,552481,4182755
506,10S,553163,4182167
507,10S,552735,4182526
508,10S,553758,4182933
509,10S,553699,4181563
510,10S,552961,4181987
511,10S,553134,4182635
512,10S,552976,4183054
513,10S,552153,4183571
514,10S,552934,4183048
515,10S,552874,4181096
516,10S,553250,4182179
517,10S,552605,4182999
518,10S,552525,4181998
519,10S,552887,4184198
520,10S,552276,4183239
521,10S,551999,4182476
522,10S,552802,4182720
523,10S,553620,4181308
524,10S,551615,4176419
525,10S,553807,4178916
526,10S,551785,4182933
527,10S,552912,4180044
528,10S,552390,4176412
529,10S,553681,4175588
530,10S,552830,4181295
531,10S,552345,4181278
532,10S,552566,4175794
533,10S,552534,4180651
534,10S,552126,4180767
535,10S,553309,4179916
536,10S,553678,4172244
537,10S,552817,4177605
538,10S,553132,4181721
539,10S,552719,4180970
540,10S,552659,4180040
541,10S,553572,4180727
542,10S,553319,4181107
543,10S,549611,4180084
544,10S,551047,4182642
545,10S,552898,4180501
546,10S,551197,4179798
547,10S,551871,4182115
548,10S,547467,4175872
549,10S,548841,4174345
550,10S,551887,4182123
551,10S,547955,4176103
552,10S,551311,4182921
553,10S,550839,4180484
554,10S,551878,4181104
555,10S,551089,4181379
556,10S,551328,4180629
557,10S,549410,4182160
558,10S,549403,4179629
559,10S,547827,4178034
560,10S,546948,4180060
561,10S,547999,4181479
562,10S,548751,4183933
563,10S,549570,4178842
564,10S,550599,4179564
565,10S,546699,4180920
566,10S,548860,4174410
567,10S,551867,4181561
568,10S,550975,4178508
569,10S,550492,4180115
570,10S,550214,4179615
571,10S,550401,4183906
572,10S,551690,4180341
573,10S,551539,4181406
574,10S,550491,4179425
575,10S,551698,4181683
576,10S,550352,4181157
577,10S,549622,4182551
578,10S,547073,4181837
579,10S,546200,4178175
580,10S,546304,4177162
581,10S,550887,4181392
582,10S,544831,4176228
583,10S,543680,4179627
584,10S,550944,4183613
585,10S,550377,4178352
586,10S,546254,4175515
587,10S,546463,4180816
588,10S,549519,4178686
589,10S,549408,4177598
590,10S,546114,4178897
591,10S,551176,4182142
592,10S,548926,4183944
593,10S,544677,4179843
594,10S,550028,4179122
595,10S,550002,4182311
596,10S,545637,4177664
597,10S,545237,4177350
598,10S,546004,4177121
599,10S,543253,4179265
600,10S,545635,4183300
601,10S,546363,4181228
602,10S,544066,4179077
603,10S,543426,4180469
604,10S,544709,4176961
605,10S,546387,4174216
606,10S,543934,4176793
607,10S,545263,4179066
608,10S,543935,4179663
609,10S,543028,4181496
610,10S,553820,4181236
611,10S,551088,4179880
612,10S,548557,4174862
613,10S,553718,4181471
614,10S,553618,4181420
615,10S,553246,4182789
616,10S,553398,4182485
617,10S,552747,4182005
618,10S,552625,4182329
619,10S,552141,4183696
620,10S,552490,4183545
621,10S,553442,4182111
622,10S,551920,4182171
623,10S,551554,4184259
624,10S,553177,4183477
625,10S,551552,4183070
626,10S,553235,4183431
627,10S,552026,4184577
628,10S,552108,4183845
629,10S,551950,4181774
630,10S,551964,4181845
631,10S,551117,4184153
632,10S,553378,4183254
633,10S,552879,4183124
634,10S,552820,4181915
635,10S,552734,4182176
636,10S,552129,4183084
637,10S,553544,4182764
638,10S,552438,4183088
639,10S,552289,4183125
640,10S,552558,4183190
641,10S,552059,4181843
642,10S,553763,4182227
643,10S,552192,4182296
644,10S,553778,4182220
645,10S,553425,4182485
646,10S,553545,4183210
647,10S,552156,4183114
648,10S,552372,4183413
649,10S,553030,4183113
650,10S,551980,4182155
651,10S,551988,4182766
652,10S,551939,4182043
653,10S,551982,4182628
654,10S,552621,4184267
655,10S,551686,4184455
656,10S,551320,4183717
657,10S,552047,4182918
658,10S,552495,4182479
659,10S,553368,4182637
660,10S,552359,4182664
661,10S,552592,4182933
662,10S,552884,4182710
663,10S,552954,4180044
664,10S,552349,4179914
665,10S,554019,4181261
666,10S,550995,4178165
667,10S,551600,4178307
668,10S,552321,4180547
669,10S,551331,4180902
670,10S,552284,4176998
671,10S,552541,4179784
672,10S,552299,4179280
673,10S,553636,4176711
674,10S,550933,4182739
675,10S,552917,4181316
676,10S,553350,4172530
677,10S,552449,4177777
678,10S,553596,4179729
679,10S,552320,4176383
680,10S,554137,4175988
681,10S,551678,4182706
682,10S,553717,4177296
683,10S,551487,4181853
684,10S,551761,4182135
685,10S,553181,4174105
686,10S,552670,4179129
687,10S,554938,4176942
688,10S,552196,4176839
689,10S,553372,4175856
690,10S,551803,4182170
691,10S,550907,4182562
692,10S,553404,4172860
693,10S,553875,4179121
694,10S,553081,4179736
695,10S,553311,4181103
696,10S,552044,4180484
697,10S,551622,4180640
698,10S,551203,4179517
699,10S,551217,4178509
700,10S,550868,4179507
701,10S,551309,4182899
702,10S,551408,4178356
703,10S,548923,4173527
704,10S,552904,4180348
705,10S,550231,4176400
706,10S,548814,4175749
707,10S,553644,4172060
708,10S,550842,4180488
709,10S,547220,4183977
710,10S,547469,4178080
711,10S,547066,4181914
712,10S,550240,4183271
713,10S,547862,4178298
714,10S,546739,4176981
715,10S,549895,4178023
716,10S,550261,4176523
717,10S,549570,4183878
718,10S,546812,4179763
719,10S,550457,4183685
720,10S,551572,4181895
721,10S,546791,4180550
722,10S,548454,4175140
723,10S,547379,4180334
724,10S,551085,4180489
725,10S,547750,4179707
726,10S,551066,4181860
727,10S,551232,4181317
728,10S,550835,4181707
729,10S,549535,4176518
730,10S,548317,4180415
731,10S,550972,4178991
732,10S,550312,4183746
733,10S,551347,4181329
734,10S,547611,4181433
735,10S,551298,4181252
736,10S,544194,4180192
737,10S,550593,4183330
738,10S,544316,4178517
739,10S,546390,4176347
740,10S,543225,4180581
741,10S,544114,4180754
742,10S,546053,4175812
743,10S,543618,4178776
744,10S,545339,4177408
745,10S,544072,4179839
746,10S,546291,4177135
747,10S,544194,4177110
748,10S,553164,4183093
749,10S,553247,4182636
750,10S,552585,4183382
751,10S,552361,4184658
752,10S,553354,4183497
753,10S,552797,4183243
754,10S,552136,4183412
755,10S,552659,4181371
756,10S,552924,4182786
757,10S,551528,4184013
758,10S,552783,4182147
759,10S,552246,4181861
760,10S,552996,4182909
761,10S,550832,4182164
762,10S,552469,4181488
763,10S,551975,4183085
764,10S,552306,4182667
765,10S,552942,4183091
766,10S,552102,4181912
767,10S,552958,4181580
768,10S,552591,4184359
769,10S,552191,4182077
770,10S,552432,4182104
771,10S,552628,4182125
772,10S,552172,4182057
773,10S,552894,4181567
774,10S,552557,4181960
775,10S,552899,4182164
776,10S,551857,4183415
777,10S,552471,4182132
778,10S,552792,4183526
779,10S,550458,4184248
780,10S,550702,4183530
781,10S,553698,4183115
782,10S,551106,4184299
783,10S,551544,4184225
784,10S,552761,4182686
785,10S,553114,4183244
786,10S,553739,4182513
787,10S,552169,4181700
788,10S,552978,4182787
789,10S,552602,4182235
790,10S,552749,4183594
791,10S,552690,4183286
792,10S,552230,4182089
793,10S,552444,4183562
794,10S,553306,4182278
795,10S,551571,4184143
796,10S,553397,4183228
797,10S,553051,4183456
798,10S,551512,4184172
799,10S,552881,4183717
800,10S,552361,4182299
801,10S,552882,4183006
802,10S,552511,4184308
803,10S,553136,4183464
804,10S,551673,4183890
805,10S,553884,4182758
806,10S,553675,4182313
807,10S,552909,4182786
808,10S,553497,4182159
809,10S,553792,4182801
810,10S,553929,4182735
811,10S,552959,4182787
812,10S,552818,4183748
813,10S,552677,4181947
814,10S,553559,4183165
815,10S,552958,4183202
